sample_id,lake_name,ecoregion_3,year,date_sampled,parameter,sample_location,value
2616,Airline,Interior River Lowland,2017,11-Jul-17,Surface Area (ha),Average,10.12
2467,Gambill,Interior River Lowland,2016,20-Jul-16,Surface Area (ha),Average,4.86
2570,Eagle,MI-IN Till Plain,2017,17-Jul-17,Surface Area (ha),Average,32.78
2559,Hale,Interior River Lowland,2017,10-Jul-17,Surface Area (ha),Average,6.07
2576,Deam,Interior River,2017,17-Jul-17,Surface Area (ha),Average,78.92
2439,Gage,MI-IN Till Plain,2016,27-Jun-16,Surface Area (ha),Average,132.34
2526,Nasby Mill Pond,MI-IN Till Plain,2016,15-Aug-16,Surface Area (ha),Average,14.16
2555,Chrisney,Interior River Lowland,2017,10-Jul-17,Surface Area (ha),Average,10.52
2571,Price,MI-IN Till Plain,2017,17-Jul-17,Surface Area (ha),Average,4.86
2311,Griffy,Interior River,2015,30-Apr-15,Surface Area (ha),Average,52.61
2363,Gambill,Interior River Lowland,2015,15-Jul-15,Surface Area (ha),Average,4.86
2402,Boones Pond,Eastern Corn Belt Plain,2015,5-Aug-15,Surface Area (ha),Average,3.24
2525,George,MI-IN Till Plain,2016,15-Aug-16,Surface Area (ha),Average,205.99
2603,McClish,MI-IN Till Plain,2017,31-Jul-17,Surface Area (ha),Average,14.16
2468,Mayfield,Interior River Lowland,2016,20-Jul-16,Surface Area (ha),Average,6.07
2475,Celina,Interior River,2016,18-Jul-16,Surface Area (ha),Average,66.37
2565,Hammond,Interior River Lowland,2017,12-Jul-17,Surface Area (ha),Average,2.43
2346,Green,MI-IN Till Plain,2015,6-Jul-15,Surface Area (ha),Average,9.71
2362,Turtle,Interior River Lowland,2015,15-Jul-15,Surface Area (ha),Average,3.24
2378,Todd,Interior River Lowland,2015,22-Jul-15,Surface Area (ha),Average,3.24
2388,Summit,Eastern Corn Belt Plain,2015,27-Jul-15,Surface Area (ha),Average,329.83
2560,Mayfield,Interior River Lowland,2017,11-Jul-17,Surface Area (ha),Average,6.07
