Lake,Date,Parameter,Depth,Value
Little Otter,7/1/19,Chlorophyll-a (ug/L),0,0.41
Green,7/1/19,Chlorophyll-a (ug/L),0,0.2
Crooked,7/1/19,Chlorophyll-a (ug/L),0,0.04
Ball,7/1/19,Chlorophyll-a (ug/L),0,16.5
North Twin,6/24/19,Chlorophyll-a (ug/L),0,0.1
Shipshewanna,6/24/19,Chlorophyll-a (ug/L),0,18.9
Royer,6/24/19,Chlorophyll-a (ug/L),0,33.7
Oliver,6/24/19,Chlorophyll-a (ug/L),0,0.2
Big Long,6/24/19,Chlorophyll-a (ug/L),0,0.11
Rivir,6/25/19,Chlorophyll-a (ug/L),0,25.55
Dock,6/25/19,Chlorophyll-a (ug/L),0,0.45
Bowen,6/25/19,Chlorophyll-a (ug/L),0,NA
Williams,6/25/19,Chlorophyll-a (ug/L),0,16.43
Port Mitchell,6/25/19,Chlorophyll-a (ug/L),0,15.75
"Twin Pits, East",6/26/19,Chlorophyll-a (ug/L),0,0.05
Huntingburg City,6/26/19,Chlorophyll-a (ug/L),0,0.47
Ferdinand City,6/26/19,Chlorophyll-a (ug/L),0,0.56
Huntingburg City,6/26/19,Chlorophyll-a (ug/L),0,0.06
McClish,7/1/19,Chlorophyll-a (ug/L),0,0.1
Bixler,7/2/19,Chlorophyll-a (ug/L),0,0.18
Sacrider,7/2/19,Chlorophyll-a (ug/L),0,24.04
Crane,7/2/19,Chlorophyll-a (ug/L),0,52.18
Knapp,7/2/19,Chlorophyll-a (ug/L),0,0.31
Fancher,7/8/19,Chlorophyll-a (ug/L),0,0.08
Lake George,7/8/19,Chlorophyll-a (ug/L),0,46.97
Hudson,7/8/19,Chlorophyll-a (ug/L),0,0.14
Potato Cr. (Worster),7/8/19,Chlorophyll-a (ug/L),0,0.45
Pleasant,7/8/19,Chlorophyll-a (ug/L),0,22.67
Kreighbaum,7/8/19,Chlorophyll-a (ug/L),0,0.36
Thomas,7/9/19,Chlorophyll-a (ug/L),0,0.21
Hortz,7/9/19,Chlorophyll-a (ug/L),0,0.18
Nyona,7/9/19,Chlorophyll-a (ug/L),0,77.81
South Mud,7/9/19,Chlorophyll-a (ug/L),0,7.86
Mansfield Reservoir (Harden),7/10/19,Chlorophyll-a (ug/L),0,13.97
Green Valley,7/10/19,Chlorophyll-a (ug/L),0,22.26
Stump Jumper,7/10/19,Chlorophyll-a (ug/L),0,0.03
