,X1,sample_id,lake_id,lake_name,sa_ha,lake_type,ecoregion_3,trip_num,county,year,date_sampled,sample_location,lat,long,max_depth_m,secchi_m,lt_trans_3ft_per,lt_level_1per_ft,water_col_oxic_per,ph_epi,ph_hypo,cond_epi,cond_hypo,alk_epi,alk_hypo,no3_epi,no3_hypo,nh3_epi,nh3_hypo,tkn_epi,tkn_hypo,srp_epi,srp_hypo,tp_epi,tp_hypo,chla_ug_L,micro_ug_L,pktn_cells_mL,pktn_num_L,bg_dom_nu_per,bg_dom_cell_per,bg_num_L,bg_cell_mL,green_num_L,green_cell_mL,diatoms_nu_L,diatoms_cells_mL,other_algae_nu_L,other_algae_cells_mL,rotifer_num_L,rotifers_cell_mL,zoo_num_L,zoo_cells_mL,alk_avg,cond_avg,ph_avg,no3_avg,nh3_avg,tkn_avg,orgn_avg,srp_avg,tp_avg,tsi_sd,tsi_chla,tsi_tp_avg,tsi_tp_epi,tsi_comb,tn_avg,tn_epi,tn_hypo,not_sampled,tsi_int
285,289,2675,815,J.C. Murphy,485.64,impoundment,54,4,Newton,2018,10-Jul-18,Deep Hole,40.973928,-87.5183086,3.4,0.6,312,4.592,NA,7.2,7.4,235.5,277.9,105,121,0.008,0.011,0.571,1.083,NA,NA,0.076,0.223,0.015,0.017,53.827,NA,0,188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,0,127,0,113,256.7,7.3,0.0095,0.827,NA,0,0.1495,0.016,67,70,44,43,60,NA,0.93,1.344,FALSE,Hypereutrophic
257,106,2457,704,Wolf,155.81,natural lake,54,3,Lake,2016,11-Jul-16,Deep Hole,41.67165,-87.5162,4.72,0.95,10.77,8.2,NA,8.4,7.4,719,721,110,107,0.0086,0.0086,0.015,0.015,NA,NA,0.004,0.004,0.066,0.06,33.153,NA,69590,6661347,59.7,87,3976517,60308,1836688,8435,258562,259,588454,588,992,0,134,0,108.5,720,7.9,0.0086,0.015,NA,0,0.004,0.063,61,65,64,65,63,NA,1.081,1.164,FALSE,Hypereutrophic
283,130,2481,1353,Green Valley,20.24,impoundment,54,7,Vigo,2016,27-Jul-16,Deep Hole,39.51078,-87.50647,4.88,0.55,7.009,5,NA,8.5,7.2,258,397,102,163,0.0086,0.0086,0.015,1.41,NA,NA,0.006,0.367,0.092,0.465,53.443,NA,138609,12170681,70.5,95,8586067,131653,2692618,6064,740025,740,151572,152,330,0,69,0,132.5,327.5,7.85,0.0086,0.7125,NA,0,0.1865,0.2785,69,70,85,69,75,NA,0.922,2.566,FALSE,Hypereutrophic
303,31,2358,675,Cedar,316.07,natural lake,54,1,Lake,2015,13-Jul-15,deep hole,41.37201,-87.4336,4.2,0.2,0.064,1.148,100,9.4,NA,335,NA,103,NA,0.013,NA,0.018,NA,1.2575,NA,0.043,NA,0.126,NA,109.07,NA,653880,5216308,68,94,3548552,611073,1328479,42209,267479,508,71328,90,136,0,334,0,103,335,9.4,0.013,0.018,1.2575,1.2395,0.043,0.126,83,77,74,74,78,NA,NA,NA,FALSE,Hypereutrophic
286,109,2460,675,Cedar,316.07,natural lake,54,3,Lake,2016,11-Jul-16,Deep Hole,41.37163,-87.43301,3.9,0.15,1.8,3.9,NA,7.8,8.6,363,368,99,99,0.0086,0.0086,0.015,0.015,NA,NA,0.01,0.008,0.177,0.17,63.226,NA,684089,17657091,88.5,95,15629674,650935,1497881,19412,187236,187,338806,13552,1726,1,1768,2,99,365.5,8.2,0.0086,0.015,NA,0,0.009,0.1735,87,71,79,79,79,NA,2.562,2.596,FALSE,Hypereutrophic
312,74,2409,508,White Oak #2,2.83,NA,72,9,Knox,2015,4-Aug-15,deep hole,38.7425,-87.40641,5.18,0.7,3.79,4.92,38.6,7.35,6.6,203,399,84,147,0.332,0.013,0.018,0.703,0.619,2.2015,0.01,0.01,0.067,0.137,NA,NA,17288,3101028,12.8,65,396265,11234,2278522,5291,9907,139,416077,624,246,0,11,0,115.5,301,6.975,0.1725,0.3605,1.41025,1.04975,0.01,0.102,65,NA,71,65,NA,NA,NA,NA,FALSE,NA
291,129,2480,1305,Sullivan,205.18,impoundment,72,7,Sullivan,2016,27-Jul-16,Deep Hole,39.10132,-87.37537,6.1,0.45,5.275,4.1,NA,8.05,7,246,319,84,109,0.0086,0.0086,0.015,1.247,NA,NA,0.006,0.126,0.071,0.187,66.803,NA,257242,29333589,84.4,95,24759616,244412,3967602,12224,445798,445,160488,161,30,0,55,0,96.5,282.5,7.525,0.0086,0.631,NA,0,0.066,0.129,72,72,74,66,73,NA,1.259,2.153,FALSE,Hypereutrophic
47,33,2360,1478,Bobcat,2,Surface Mine Lake,72,4,Greene,2015,15-Jul-15,deep hole,39.05545,-87.35114,9,2.7,20.41,7.544,55.55,9.4,9.5,165,202,47,47,0.086,0.079,0.018,0.018,0.398,0.39,0.01,0.01,0.019,0.035,2.59,NA,48660,853516,22,89,188070,43470,601828,5128,4179,4,58511,58,448,0,480,0,47,183.5,9.45,0.0825,0.018,0.394,0.376,0.01,0.027,46,40,52,47,46,NA,NA,NA,FALSE,Mesotrophic
96,277,2658,1478,Bobcat,2,Surface Mine Lake,72,3,Greene,2018,3-Jul-18,Deep Hole,39.05543,-87.35085,9.1,1.7,685,14.104,NA,7.3,7.2,177,207.1,54,70,0.008,0.008,0.05,0.527,NA,NA,0.009,0.017,0.021,0.09,3.978,NA,0,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,0,86,0,62,192.05,7.25,0.008,0.2885,NA,0,0.013,0.0555,52,44,62,48,53,NA,0.694,1.263,FALSE,Mesotrophic
114,278,2659,1479,Skunk,0.3,Surface Mine Lake,72,3,Greene,2018,3-Jul-18,Deep Hole,39.05505,-87.3485,4.5,2.3,230.7,4.92,NA,7.4,7.3,180.6,199.8,55,57,0.008,0.008,0.065,0.085,NA,NA,0.013,0.015,0.023,0.395,4.774,NA,0,1119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,417,0,702,0,56,190.2,7.35,0.008,0.075,NA,0,0.014,0.209,48,46,81,49,58,NA,0.586,1.645,FALSE,Mesotrophic
