sample_id,lake_name,year,date_sampled,parameter,sample_location,value
2616,Airline,2017,11-Jul-17,Surface Area (ha),Epilimnion,10.12
2467,Gambill,2016,20-Jul-16,Surface Area (ha),Epilimnion,4.86
2570,Eagle,2017,17-Jul-17,Surface Area (ha),Epilimnion,32.78
2559,Hale,2017,10-Jul-17,Surface Area (ha),Epilimnion,6.07
2576,Deam,2017,17-Jul-17,Surface Area (ha),Epilimnion,78.92
2439,Gage,2016,27-Jun-16,Surface Area (ha),Epilimnion,132.34
2526,Nasby Mill Pond,2016,15-Aug-16,Surface Area (ha),Epilimnion,14.16
2555,Chrisney,2017,10-Jul-17,Surface Area (ha),Epilimnion,10.52
2571,Price,2017,17-Jul-17,Surface Area (ha),Epilimnion,4.86
2311,Griffy,2015,30-Apr-15,Surface Area (ha),Epilimnion,52.61
2363,Gambill,2015,15-Jul-15,Surface Area (ha),Epilimnion,4.86
2402,Boones Pond,2015,5-Aug-15,Surface Area (ha),Epilimnion,3.24
2525,George,2016,15-Aug-16,Surface Area (ha),Epilimnion,205.99
2603,McClish,2017,31-Jul-17,Surface Area (ha),Epilimnion,14.16
2468,Mayfield,2016,20-Jul-16,Surface Area (ha),Epilimnion,6.07
2475,Celina,2016,18-Jul-16,Surface Area (ha),Epilimnion,66.37
2565,Hammond,2017,12-Jul-17,Surface Area (ha),Epilimnion,2.43
2346,Green,2015,6-Jul-15,Surface Area (ha),Epilimnion,9.71
2362,Turtle,2015,15-Jul-15,Surface Area (ha),Epilimnion,3.24
2378,Todd,2015,22-Jul-15,Surface Area (ha),Epilimnion,3.24
2388,Summit,2015,27-Jul-15,Surface Area (ha),Epilimnion,329.83
2560,Mayfield,2017,11-Jul-17,Surface Area (ha),Epilimnion,6.07
2621,Griffy,2017,15-Aug-17,Surface Area (ha),Epilimnion,52.61
2653,"Twin Pitts, East",2018,2-Jul-18,Surface Area (ha),Epilimnion,12.55
2676,Gooseneck,2018,16-Jul-18,Surface Area (ha),Epilimnion,10.12
2677,"Failing ""Gentian""",2018,16-Jul-18,Surface Area (ha),Epilimnion,9.31
2705,Scott,2018,26-Jul-18,Surface Area (ha),Epilimnion,4.86
2504,Pretty,2016,2-Aug-16,Surface Area (ha),Epilimnion,74.46
2554,John Hay,2017,10-Jul-17,Surface Area (ha),Epilimnion,84.99
2557,Patoka Reservoir,2017,10-Jul-17,Surface Area (ha),Epilimnion,3593.74
2596,Clair,2017,25-Jul-17,Surface Area (ha),Epilimnion,17.4
2600,Crooked,2017,31-Jul-17,Surface Area (ha),Epilimnion,324.57
2660,Bass,2018,3-Jul-18,Surface Area (ha),Epilimnion,85.39
2667,Lawrence,2018,9-Jul-18,Surface Area (ha),Epilimnion,27.92
2374,Goodman,2015,22-Jul-15,Surface Area (ha),Epilimnion,1.21
2469,Redbud,2016,20-Jul-16,Surface Area (ha),Epilimnion,1.62
2482,Star,2016,27-Jul-16,Surface Area (ha),Epilimnion,2.02
2566,White Pine,2017,12-Jul-17,Surface Area (ha),Epilimnion,0.81
2359,T Lake,2015,15-Jul-15,Surface Area (ha),Epilimnion,2.02
2438,Silver,2016,27-Jun-16,Surface Area (ha),Epilimnion,96.32
2470,Hackberry,2016,20-Jul-16,Surface Area (ha),Epilimnion,2.02
2478,Chrisney,2016,18-Jul-16,Surface Area (ha),Epilimnion,10.52
2479,Scheister,2016,27-Jul-16,Surface Area (ha),Epilimnion,4.13
2491,Kuhn,2016,26-Jul-16,Surface Area (ha),Epilimnion,47.75
2502,South Twin,2016,2-Aug-16,Surface Area (ha),Epilimnion,46.95
2593,Crooked,2017,25-Jul-17,Surface Area (ha),Epilimnion,83.37
2360,Bobcat,2015,15-Jul-15,Surface Area (ha),Epilimnion,2
2366,Bass,2015,15-Jul-15,Surface Area (ha),Epilimnion,85.39
2389,Wawasee,2015,28-Jul-15,Surface Area (ha),Epilimnion,1059.5
2443,Atwood,2016,28-Jun-16,Surface Area (ha),Epilimnion,68.8
2452,South Twin,2016,5-Jul-16,Surface Area (ha),Epilimnion,46.95
2466,Chapel pit,2016,20-Jul-16,Surface Area (ha),Epilimnion,1.21
2474,Springs Valley (Tucker),2016,18-Jul-16,Surface Area (ha),Epilimnion,57.06
2516,North Twin,2016,13-Aug-16,Surface Area (ha),Epilimnion,54.63
2563,Horshoe,2017,12-Jul-17,Surface Area (ha),Epilimnion,10.93
