sample_id,lake_name,lake_type,ecoregion_3,year,date_sampled,parameter,value
2616,Airline,Surface Mine Lake,Interior River Lowland,2017,11-Jul-17,Secchi Depth (m),6.3
2467,Gambill,Surface Mine Lake,Interior River Lowland,2016,20-Jul-16,Secchi Depth (m),8.85
2570,Eagle,Natural Lake,MI-IN Till Plain,2017,17-Jul-17,Secchi Depth (m),2.9
2559,Hale,Surface Mine Lake,Interior River Lowland,2017,10-Jul-17,Secchi Depth (m),4
2576,Deam,Impoundment,Interior River,2017,17-Jul-17,Secchi Depth (m),1.9
2439,Gage,Natural Lake,MI-IN Till Plain,2016,27-Jun-16,Secchi Depth (m),3.2
2526,Nasby Mill Pond,Impoundment,MI-IN Till Plain,2016,15-Aug-16,Secchi Depth (m),1.55
2555,Chrisney,Impoundment,Interior River Lowland,2017,10-Jul-17,Secchi Depth (m),2.6
2571,Price,Natural Lake,MI-IN Till Plain,2017,17-Jul-17,Secchi Depth (m),3.1
2311,Griffy,Impoundment,Interior River,2015,30-Apr-15,Secchi Depth (m),5.2
2363,Gambill,Surface Mine Lake,Interior River Lowland,2015,15-Jul-15,Secchi Depth (m),8.7
2402,Boones Pond,Surface Mine Lake,Eastern Corn Belt Plain,2015,5-Aug-15,Secchi Depth (m),3.1
2525,George,Natural Lake,MI-IN Till Plain,2016,15-Aug-16,Secchi Depth (m),7.15
2603,McClish,Natural Lake,MI-IN Till Plain,2017,31-Jul-17,Secchi Depth (m),2.2
2468,Mayfield,Surface Mine Lake,Interior River Lowland,2016,20-Jul-16,Secchi Depth (m),5.1
2475,Celina,Impoundment,Interior River,2016,18-Jul-16,Secchi Depth (m),3.2
2565,Hammond,Surface Mine Lake,Interior River Lowland,2017,12-Jul-17,Secchi Depth (m),5.7
2346,Green,Natural Lake,MI-IN Till Plain,2015,6-Jul-15,Secchi Depth (m),1.3
2362,Turtle,Surface Mine Lake,Interior River Lowland,2015,15-Jul-15,Secchi Depth (m),3.6
2378,Todd,Surface Mine Lake,Interior River Lowland,2015,22-Jul-15,Secchi Depth (m),5.8
2388,Summit,Impoundment,Eastern Corn Belt Plain,2015,27-Jul-15,Secchi Depth (m),6.2
2560,Mayfield,Surface Mine Lake,Interior River Lowland,2017,11-Jul-17,Secchi Depth (m),4.7
2621,Griffy,Impoundment,Interior River,2017,15-Aug-17,Secchi Depth (m),3.9
2653,"Twin Pitts, East",Surface Mine Lake,Interior River Lowland,2018,2-Jul-18,Secchi Depth (m),3.4
2676,Gooseneck,Natural Lake,MI-IN Till Plain,2018,16-Jul-18,Secchi Depth (m),3
2677,"Failing ""Gentian""",Natural Lake,MI-IN Till Plain,2018,16-Jul-18,Secchi Depth (m),3.1
2705,Scott,Surface Mine Lake,Interior River Lowland,2018,26-Jul-18,Secchi Depth (m),4.2
2504,Pretty,Natural Lake,MI-IN Till Plain,2016,2-Aug-16,Secchi Depth (m),4.1
2554,John Hay,Impoundment,Interior River,2017,10-Jul-17,Secchi Depth (m),4.1
2557,Patoka Reservoir,Impoundment,Interior River,2017,10-Jul-17,Secchi Depth (m),1.2
2596,Clair,Surface Mine Lake,Eastern Corn Belt Plain,2017,25-Jul-17,Secchi Depth (m),0.9
2600,Crooked,Natural Lake,MI-IN Till Plain,2017,31-Jul-17,Secchi Depth (m),2.1
2660,Bass,Surface Mine Lake,Interior River Lowland,2018,3-Jul-18,Secchi Depth (m),4
2667,Lawrence,Natural Lake,MI-IN Till Plain,2018,9-Jul-18,Secchi Depth (m),3.3
2374,Goodman,Surface Mine Lake,Interior River Lowland,2015,22-Jul-15,Secchi Depth (m),3.1
2469,Redbud,Surface Mine Lake,Interior River Lowland,2016,20-Jul-16,Secchi Depth (m),3.8
2482,Star,Surface Mine Lake,Interior River Lowland,2016,27-Jul-16,Secchi Depth (m),3.6
2566,White Pine,Surface Mine Lake,Interior River Lowland,2017,12-Jul-17,Secchi Depth (m),3.1
2359,T Lake,Surface Mine Lake,Interior River Lowland,2015,15-Jul-15,Secchi Depth (m),2.5
2438,Silver,Natural Lake,MI-IN Till Plain,2016,27-Jun-16,Secchi Depth (m),3.6
2470,Hackberry,Surface Mine Lake,Interior River Lowland,2016,20-Jul-16,Secchi Depth (m),4.9
2478,Chrisney,Impoundment,Interior River Lowland,2016,18-Jul-16,Secchi Depth (m),1.3
2479,Scheister,Surface Mine Lake,Interior River Lowland,2016,27-Jul-16,Secchi Depth (m),4.7
2491,Kuhn,Natural Lake,MI-IN Till Plain,2016,26-Jul-16,Secchi Depth (m),3.1
2502,South Twin,Natural Lake,MI-IN Till Plain,2016,2-Aug-16,Secchi Depth (m),1.8
2593,Crooked,Natural Lake,MI-IN Till Plain,2017,25-Jul-17,Secchi Depth (m),4.2
2360,Bobcat,Surface Mine Lake,Interior River Lowland,2015,15-Jul-15,Secchi Depth (m),2.7
2366,Bass,Surface Mine Lake,Interior River Lowland,2015,15-Jul-15,Secchi Depth (m),4.3
2389,Wawasee,Natural Lake,MI-IN Till Plain,2015,28-Jul-15,Secchi Depth (m),2.4
2443,Atwood,Natural Lake,MI-IN Till Plain,2016,28-Jun-16,Secchi Depth (m),1.65
2452,South Twin,Natural Lake,MI-IN Till Plain,2016,5-Jul-16,Secchi Depth (m),1.95
2466,Chapel pit,Surface Mine Lake,Interior River Lowland,2016,20-Jul-16,Secchi Depth (m),2.75
2474,Springs Valley (Tucker),Impoundment,Interior River,2016,18-Jul-16,Secchi Depth (m),3.7
2516,North Twin,Natural Lake,MI-IN Till Plain,2016,13-Aug-16,Secchi Depth (m),2.4
2563,Horshoe,Surface Mine Lake,Interior River Lowland,2017,12-Jul-17,Secchi Depth (m),3.45
2598,Cedar,Natural Lake,MI-IN Till Plain,2017,31-Jul-17,Secchi Depth (m),3.4
2599,Barton,Natural Lake,MI-IN Till Plain,2017,31-Jul-17,Secchi Depth (m),2
2648,Little Bause,Natural Lake,MI-IN Till Plain,2018,26-Jun-18,Secchi Depth (m),3.6
2670,Bass (N. Chain),Natural Lake,MI-IN Till Plain,2018,9-Jul-18,Secchi Depth (m),2.7
2394,Yellowwood,Impoundment,Interior River,2015,29-Jul-15,Secchi Depth (m),2.4
2455,Lake of the Woods,Natural Lake,MI-IN Till Plain,2016,5-Jul-16,Secchi Depth (m),3.65
2463,Maxinkuckee,Natural Lake,MI-IN Till Plain,2016,12-Jul-16,Secchi Depth (m),1.15
2572,Goldeneye,Impoundment,MI-IN Till Plain,2017,17-Jul-17,Secchi Depth (m),2.6
2606,Upper Long,Natural Lake,MI-IN Till Plain,2017,31-Jul-17,Secchi Depth (m),1.1
2610,Lawrence,Natural Lake,MI-IN Till Plain,2017,7-Aug-17,Secchi Depth (m),2.9
2646,McClish,Natural Lake,MI-IN Till Plain,2018,25-Jun-18,Secchi Depth (m),3.2
2688,Pretty,Natural Lake,MI-IN Till Plain,2018,23-Jul-18,Secchi Depth (m),4.3
2344,Blackman,Natural Lake,MI-IN Till Plain,2015,6-Jul-15,Secchi Depth (m),2.1
